,REGION,ILITOTAL,TOTAL PATIENTS,Season,A_H1,A_H3,BVic,BYam,A_2009_H1N1,Total_Tested,B,H3N2v,ILI_Percent,A_H1_Percent,A_H3_Percent,BVic_Percent,BYam_Percent,A_2009_H1N1_Percent,B_Percent,H3N2v_Percent
49,Alabama,17028.0,402872.0,11.0,0.0,,,,9.0,2624.0,4.0,0.0,0.04226652634087254,0.0,,,,0.003429878048780488,0.001524390243902439,0.0
50,Alaska,987.0,107490.0,11.0,0.0,,,,113.0,3473.0,224.0,0.0,0.009182249511582473,0.0,,,,0.03253671177656205,0.0644975525482292,0.0
51,Arizona,9574.0,964366.0,11.0,0.0,,,,453.0,4222.0,162.0,0.0,0.009927766014148156,0.0,,,,0.10729512079583135,0.03837044054950261,0.0
52,Arkansas,2946.0,170554.0,11.0,0.0,,,,16.0,1178.0,13.0,0.0,0.017273121709253374,0.0,,,,0.013582342954159592,0.011035653650254669,0.0
53,California,36771.0,1482308.0,11.0,0.0,,,,311.0,10674.0,130.0,0.0,0.02480658540600199,0.0,,,,0.02913621884954094,0.012179126850290425,0.0
54,Colorado,7403.0,1049059.0,11.0,0.0,,,,29.0,10306.0,15.0,0.0,0.007056800427811973,0.0,,,,0.0028138948185522997,0.001455462837182224,0.0
55,Connecticut,480.0,144279.0,11.0,0.0,,,,64.0,5760.0,23.0,0.0,0.0033268874888237373,0.0,,,,0.011111111111111112,0.003993055555555555,0.0
56,Delaware,299.0,110072.0,11.0,0.0,,,,20.0,4043.0,45.0,0.0,0.002716403808416309,0.0,,,,0.004946821667078902,0.011130348750927528,0.0
57,Georgia,24583.0,1632793.0,11.0,0.0,,,,49.0,15112.0,204.0,0.0,0.015055797029997067,0.0,,,,0.003242456326098465,0.013499205929062997,0.0
58,Hawaii,7320.0,512724.0,11.0,0.0,,,,47.0,8698.0,461.0,0.0,0.014276686872469399,0.0,,,,0.005403541043918142,0.053000689813750286,0.0
59,Idaho,3467.0,196096.0,11.0,0.0,,,,14.0,75.0,2.0,0.0,0.0176801158616188,0.0,,,,0.18666666666666668,0.02666666666666667,0.0
60,Illinois,40394.0,2035227.0,11.0,0.0,,,,46.0,2030.0,91.0,0.0,0.019847417511658406,0.0,,,,0.022660098522167486,0.04482758620689655,0.0
61,Indiana,4478.0,442949.0,11.0,0.0,,,,27.0,2395.0,18.0,0.0,0.010109515993940612,0.0,,,,0.01127348643006263,0.007515657620041753,0.0
62,Iowa,1207.0,182713.0,11.0,0.0,,,,120.0,2531.0,33.0,0.0,0.006605988626972355,0.0,,,,0.047412090082971155,0.013038324772817068,0.0
63,Kansas,3945.0,368112.0,11.0,0.0,,,,23.0,164.0,1.0,0.0,0.01071684704655105,0.0,,,,0.1402439024390244,0.006097560975609756,0.0
64,Kentucky,2326.0,867312.0,11.0,0.0,,,,23.0,1454.0,10.0,0.0,0.0026818492076669063,0.0,,,,0.01581843191196699,0.0068775790921595595,0.0
65,Louisiana,13859.0,659113.0,11.0,0.0,,,,12.0,5400.0,22.0,0.0,0.021026743517424173,0.0,,,,0.0022222222222222222,0.004074074074074074,0.0
66,Maine,1207.0,269689.0,11.0,0.0,,,,13.0,776.0,21.0,0.0,0.004475525512720208,0.0,,,,0.01675257731958763,0.027061855670103094,0.0
67,Maryland,6632.0,339648.0,11.0,0.0,,,,56.0,2326.0,164.0,0.0,0.019526097606934238,0.0,,,,0.02407566638005159,0.0705073086844368,0.0
68,Massachusetts,12232.0,1329790.0,11.0,0.0,,,,7.0,684.0,29.0,0.0,0.009198444867234676,0.0,,,,0.01023391812865497,0.04239766081871345,0.0
69,Michigan,4666.0,668931.0,11.0,0.0,,,,33.0,1317.0,75.0,0.0,0.006975308365137809,0.0,,,,0.025056947608200455,0.05694760820045558,0.0
70,Minnesota,2683.0,199617.0,11.0,0.0,,,,69.0,6380.0,104.0,0.0,0.013440739015214136,0.0,,,,0.010815047021943573,0.016300940438871474,0.0
